event,block,tx,time,round_id,voter,price,block_timestamp,block_time_utc
RequestAdded,22105577,0xb363e3b656682100aebccd540151022747b6ec1199c4a3f1e2c4840780f198bf,1742680702,10085.0,,,1742684555,2025-03-22 23:02:35+00:00
RequestAdded,22105825,0x3ac8a3f7fed7dba53582eeac98e235f3fac18f89d0aba64b74fa967dd8cf5ba2,1742684664,10085.0,,,1742687555,2025-03-22 23:52:35+00:00
VoteCommitted,22106030,0xa1b048a6c1e414b2c72bd8ad3c00eb46d8b07abf4f7800671263142d6de2bb62,1742684664,,0xd875c8cd0e06accb1925e0460766ff2ffc0f22d6,,1742690039,2025-03-23 00:33:59+00:00
VoteCommitted,22106030,0xa1b048a6c1e414b2c72bd8ad3c00eb46d8b07abf4f7800671263142d6de2bb62,1742680702,,0xd875c8cd0e06accb1925e0460766ff2ffc0f22d6,,1742690039,2025-03-23 00:33:59+00:00
VoteCommitted,22106039,0xd04734b739e519c812b717d508b6fa1c3fe249c99c38833136887036f7e99c1c,1742684664,,0xf42e5f62e04532f1d58d4cf580656646f3d10cd5,,1742690147,2025-03-23 00:35:47+00:00
VoteCommitted,22106039,0xd04734b739e519c812b717d508b6fa1c3fe249c99c38833136887036f7e99c1c,1742680702,,0xf42e5f62e04532f1d58d4cf580656646f3d10cd5,,1742690147,2025-03-23 00:35:47+00:00
VoteCommitted,22106044,0xbead9b82962995c862f9e970e1c6c0c6ddc2f4a8096b6b1ee66502140014853c,1742684664,,0xf63c71869d78235eb0e2593151feddb3aae886a2,,1742690207,2025-03-23 00:36:47+00:00
VoteCommitted,22106044,0xbead9b82962995c862f9e970e1c6c0c6ddc2f4a8096b6b1ee66502140014853c,1742680702,,0xf63c71869d78235eb0e2593151feddb3aae886a2,,1742690207,2025-03-23 00:36:47+00:00
VoteCommitted,22106052,0xea45f5108d8806473055d83cef6af52b2ace33cd1b541e20389c766da219a965,1742684664,,0x58be3aeed88e6587ac25186b3ca437444ca2ae31,,1742690303,2025-03-23 00:38:23+00:00
VoteCommitted,22106052,0xea45f5108d8806473055d83cef6af52b2ace33cd1b541e20389c766da219a965,1742680702,,0x58be3aeed88e6587ac25186b3ca437444ca2ae31,,1742690303,2025-03-23 00:38:23+00:00
VoteCommitted,22106056,0x0f156e3d5ca2cd80c20a7c0f204edc9648a5314921f0e81233ac37f1523d10c7,1742684664,,0x455e6882a2c6138ad12edc8eb8b634681eb96fa5,,1742690351,2025-03-23 00:39:11+00:00
VoteCommitted,22106056,0x0f156e3d5ca2cd80c20a7c0f204edc9648a5314921f0e81233ac37f1523d10c7,1742680702,,0x455e6882a2c6138ad12edc8eb8b634681eb96fa5,,1742690351,2025-03-23 00:39:11+00:00
VoteCommitted,22106075,0xf64c23838ea5e68ca88c036857b189043d0282e7d77f21e60c56c74729e99688,1742684664,,0xd21bfdc89ecf494d74d26ac6c2a3a95e7c0539e6,,1742690579,2025-03-23 00:42:59+00:00
VoteCommitted,22106125,0xb3c01bbe203f74e63aabe956bde09583528a3bd454bfa9e943202579fcc902d2,1742684664,,0x7870dede2bd30e194f10599d0dd88f48462ecda3,,1742691179,2025-03-23 00:52:59+00:00
VoteCommitted,22106125,0xb3c01bbe203f74e63aabe956bde09583528a3bd454bfa9e943202579fcc902d2,1742680702,,0x7870dede2bd30e194f10599d0dd88f48462ecda3,,1742691179,2025-03-23 00:52:59+00:00
VoteCommitted,22106195,0xe29ae02a5e5271b0c3a80047659a9d97977d68956b320413805d5c8eec592b01,1742684664,,0x52b88b1f9e4b0e8b3738c2f4ad0eca5b73ab31f9,,1742692019,2025-03-23 01:06:59+00:00
VoteCommitted,22106195,0xe29ae02a5e5271b0c3a80047659a9d97977d68956b320413805d5c8eec592b01,1742680702,,0x52b88b1f9e4b0e8b3738c2f4ad0eca5b73ab31f9,,1742692019,2025-03-23 01:06:59+00:00
VoteCommitted,22106234,0x13208de857a1cb7e2a5e9cc501ab138a7b04523d74ec19c8ea05370aa6bd0afc,1742684664,,0x52e14e8dfc87e8875ce5e9a94019f497b82b3e01,,1742692487,2025-03-23 01:14:47+00:00
